name	start	end	strand	col	fill	lwd
L	4496227377	4496227377	1	7	7	0.01
L	3337261609	3337261609	1	7	7	0.01
L	4501577081	4501577081	1	7	7	0.01
L	3344220849	3344220849	1	7	7	0.01
L	4548021031	4548021031	1	7	7	0.01
L	3344290324	3344290324	1	7	7	0.01
L	4405141554	4405141554	1	7	7	0.01
L	4406136003	4406136003	1	7	7	0.01
L	325829585	325829585	1	7	7	0.01
L	2088117300	2088117300	1	7	7	0.01
L	4403226870	4403226870	1	7	7	0.01
L	3670517974	3670517974	1	7	7	0.01
L	265356781	265356781	1	7	7	0.01
L	316828472	316828472	1	7	7	0.01
L	4502891404	4502891404	1	7	7	0.01
L	308279313	308279313	1	7	7	0.01
L	279408200	279408200	1	7	7	0.01
L	4579471801	4579471801	1	7	7	0.01
L	4469627454	4469627454	1	7	7	0.01
L	390790248	390790248	1	7	7	0.01
L	4480661500	4480661500	1	7	7	0.01
L	308155515	308155515	1	7	7	0.01
L	2679421843	2679421843	1	7	7	0.01
L	2728456814	2728456814	1	7	7	0.01
L	2824338347	2824338347	1	7	7	0.01
L	763492425	763492425	1	7	7	0.01
L	1028073200	1028073200	1	8	8	0.01
L	949975641	949975641	1	8	8	0.01
L	1097971481	1097971481	1	8	8	0.01
L	995937523	995937523	1	8	8	0.01
L	1003701681	1003701681	1	8	8	0.01
L	1102704162	1102704162	1	8	8	0.01
L	1553342210	1553342210	1	8	8	0.01
L	1091822546	1091822546	1	8	8	0.01
L	3601187230	3601187230	1	8	8	0.01
L	3587319069	3587319069	1	8	8	0.01
L	2364782729	2364782729	1	8	8	0.01
L	2306422250	2306422250	1	8	8	0.01
L	2381426081	2381426081	1	8	8	0.01
L	3218976253	3218976253	1	8	8	0.01
L	3669590641	3669590641	1	8	8	0.01
L	2422066899	2422066899	1	8	8	0.01
L	3388417420	3388417420	1	8	8	0.01
L	3368686388	3368686388	1	8	8	0.01
L	880497177	880497177	1	8	8	0.01
L	1553469851	1553469851	1	8	8	0.01
L	2244409684	2244409684	1	8	8	0.01
L	1040329023	1040329023	1	8	8	0.01
L	1031896205	1031896205	1	8	8	0.01
L	949085944	949085944	1	8	8	0.01
